Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
1,37agfpj5730r1zu,"rajendra light house",vJA,256644415561,"VIAJYA LAXMI GAS STOVE SERVICES",KKD,2018-03-22,0000-00-00,1,stoves,1770
2,37AAFFM3310G1ZN,"MAHAVEER E/P",VJA,34AZTPD5766A1ZC,"SRI RAMA HARI ELE &G/SA",YANAM,2018-03-22,0000-00-00,1,ELECTRICAL,22973
3,37AABFG9653L1ZW,"GONUGUNTLA VENKATESWARLU CO",VJA,37APSPB4185N1Z7,"SATYA MANIKANTA A/G",RJY,2018-03-22,0000-00-00,1,ROPE,4032
4,37ACFPD6381A1ZY,"SREE MAHADEV STATIONERS",VIJAYAWADA,37AAFFN5137L1ZY,"NANI KRISHNA EMPORIUM",KKD,2018-03-22,0000-00-00,3,FANCY,6129
5,37AMEPD7311H1ZC,"AMBICA PIPE AGENCY",VJA,37AATPN3706H1ZD,"NALAM SANITARY WARE",KKD,2018-03-22,0000-00-00,4,"PVC FITTINGS",27000
6,37AMEPD7311H1ZC,"AMBICA PIPE AGENCY",VJA,37AATPN3706H1ZD,"NALAM SANITARY WARE",KKD,2018-03-22,0000-00-00,4,PVCPIPES,27500
7,37AIVPR1931L1ZI,"ROYAL INDUSTRIAL SUPPLIERS",VJA,37CRQPM6550E1ZE,"PADMA SURYA ENGINEERING",KKD,2018-03-22,0000-00-00,2,H/W,16284
8,37ADAPC2570Q1ZE,"PRASAD A/G",VJA,37BXDPS0505B1ZX,"SAI GAYATRI AGENCIES",RJY,2018-03-22,0000-00-00,1,FANCY,2360
9,37ACHFS9753M1Z7,"SHIVA SAI PLYWOODS",VUJAYAWADA,34ASEPN4850D1ZY,"SRI VEERESWARA TIMBER DEPO",KKD,2018-03-22,0000-00-00,40,PLYWOOD,11767
10,37ACHFS9753M1Z7,"SHIVA SAI PLYWOODS",VUJAYAWADA,37AEWPB5026P1ZW,"VINAYAKA PLAYWOOD",KKD,2018-03-22,0000-00-00,6,PLYWOOD,2900
11,37AGUPK0813H1Z9,"SRI DHANALAKSHMI MARKETING",VIJAYAWADA,37aaifs0759e1z3,s.l.electronics,kkd,2018-03-22,0000-00-00,4,"HOME NEEDS",14306
12,37ALYPP7451K1Z2,"PADMAVATHI E/P",VJA,37AAAFV9616R1ZB,"VINAR PAPER MART",KKD,2018-03-22,0000-00-00,2,PAPER,4815
13,37ASVPG7068D1ZA,"SAI SRI TRADERS",VIJAYAWADA,37AFLPV3676H1ZQ,"VEERA BADRA TRADERS",RJY,2018-03-22,0000-00-00,1,FABRIC,2485
14,37AACFR7115F1ZC,"RAJKOT ENG SALES CORP",VJA,37BLUPK0273K1ZK,"SRI AYYAPPA  A/M",KAPULAPALEM,2018-03-22,0000-00-00,5,PVCPIPES,27600
15,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37ANNPV7922L1Z1,"GOWRI SANITARY&H/W",KKD,2018-03-22,0000-00-00,13,PVCPIPES,103336
16,37AGOPB1303M1ZI,"VENKATESWARA TEA CO.",Vja,37BKAPK3322E1ZN,"SRI SAI BHAVYA E/P",RJY,2018-03-22,0000-00-00,15,"TEA POWDER",51099
17,37BWLPS4246L1ZS,"MODERN TRADERS",VIJAYAWADA,37AAAFI5642N1Z2,"INDO ASIAN MARINE SUPPLY SYNDICATE",KKD,2018-03-22,0000-00-00,10,"cotton waste",10500
18,37AACCD8952B1ZP,"DOGIPARTHY POLYMERS PVT LTD [AVANI TRANSPORT]",TENALI,37ACOPK2002L1ZL,"RAJA RUBBERS",RJY,2018-03-22,0000-00-00,2,bags,13633
19,37ATWPD4726H1ZB,"VIJAYA LAKSHMI E/P",TENALI,37CEBPK6546N2ZY,"KARTHIKEYA E/P",PTPM,2018-03-22,0000-00-00,1,"p.p covers",6750
20,37cptpk8259k2zt,"srisatyanarayanae\p.altp",tenali,37AQKPG1319C1Z9,"TULASI ENTERPRISES",MANDAPETA,2018-03-22,0000-00-00,3,covers,23364
21,37AEQPK5173E1Z8,K.K.APPLIANCES,VJA,37ACEPM0480G1ZQ,"NEW GLAAS HOUSE",KKD,2018-03-22,0000-00-00,13,T-TOP,31200
22,37AACCV9292L1ZJ,"VISHVA ELECTROTECH LTD",VJA,37AOPPV1664J1Z6,"SRI SUBHODAYA ELECTRICALS",PTPM,2018-03-22,0000-00-00,3,FANS,12000
23,37AACCV9292L1ZJ,"VISHVA ELECTROTECH LTD",VJA,37AEYPG1429F1ZB,"G.VENKATA CHAKRADHARA RAO",GLPL,2018-03-22,0000-00-00,20,FANS,30000
24,37aaufs0097b1zy,"sri badrinath a/g",vja,37AEVPS1360L1ZR,"SHANTILAL &SONS",RJY,2018-03-22,0000-00-00,1,VENGAVA,11193
25,37aaufs0097b1zy,"sri badrinath a/g",vja,37ADCPN9075B1ZI,MANGILAL&CO,RJY,2018-03-22,0000-00-00,1,VKCOMPER,35763
26,37AKJPD6562D1Z8,"SHIV SHAKTI PLYWOOD",VJA,37ANIPB9157G1ZU,"SRI SRINIVASA TIMBER &H/W STORE",SMKT,2018-03-22,0000-00-00,22,PLYWOOD,11205
27,37AQGPS7822L1Z6,"VIJAYALAKSHMI DALL MILL",VAJ,37avrpk8337r1zf,"raghavendra traders",glpl,2018-03-22,0000-00-00,22,DALLS,61300
28,37AARPN3894L1ZP,"VIJAYA RESINS &COATINGS",VIJAYAWADA,37AWHPB7294G1ZB,"MANIKANTA SATYANARAYANA PAINTS STORES",RAJAHMUNDRY,2018-03-22,0000-00-00,7,PAINTS,3351
29,24aanfa9268k1zw,"anand synthetics",bhavnagar,37abxpc3601m1zd,"ramesh trading co",rjy,2018-03-22,0000-00-00,2,sewinthread,14898
30,24aanfa9268k1zw,"anand synthetics",bhavnagar,37abxpc3601m1zd,"ramesh trading co",rjy,2018-03-22,0000-00-00,8,sewinthread,43151
31,37ADWPJ8805B1ZA,"KIRAN ENTERPRISES",VJA,37AENPI9010D1ZN,"VIJAYALAKSHMI HERBAL PRODUCTS",SMKT,2018-03-22,0000-00-00,1,"pet bottles",2266
32,37ABQPV1265M1ZT,"PUSHP TRADING COMPANY",VIJAYAWADA,37BBJPP8258C1ZB,"PUSHPA TRADERS",RJY,2018-03-22,0000-00-00,10,shutters,35290
33,37AAJPJ1276G1Z0,"SHANKHESWARA KITCHEN WARE",VIJAYAWADA,37CQHPM5540A1Z1,"MARRI VEERABADRA RAO METAL&G STORE",GOLLAPROLU,2018-03-22,0000-00-00,10,T-TOP,17920
34,36BHOPP0993D1Z0,"OM SHANTI PLASTIC IND",HYD,,"K RAMBABU",SMKT,2018-03-22,0000-00-00,3,COVERS,9558
35,37BDGPP9967D1ZY,"SREE MAHALAXMI GANAPATHI POLYMERS",TENALI,,"CH .NAGESWAR RAO",GLPL,2018-03-22,0000-00-00,1,COVERS,6372
36,37BDGPP9967D1ZY,"SREE MAHALAXMI GANAPATHI POLYMERS",TENALI,37ATQPD8916R1Z0,"SRI RAMA KRISHNA POLYTHEN&G/S",PDPM,2018-03-22,0000-00-00,1,COVERS,7009
37,37ABDPA5426C1Z9,"S.P.C MARKETING",VJA,37ddhpp4479r1zd,"PADMAVATHI MARKETING",kkd,2018-03-22,0000-00-00,7,PVC,35076
38,37ABDPA5426C1Z9,"S.P.C MARKETING",VJA,37AQNPM4370Q1ZY,"VAGADEVI STEELS",ptpm(katipudi),2018-03-22,0000-00-00,3,PVC,14514
39,37acrpk5038k1z2,"hanuman industries",vja,37hqnps3156m1zv,"bhavani light house",kkd,2018-03-22,0000-00-00,3,stoves,6720
40,37ABGFM2556E1ZA,"MAHITHA SRI DOORS & PLYWOOD",VJW,37BXDPP8056L1ZT,"SRI LAKSHMI VENKATESWARA PLY & H/W",MANDAPETA,2018-03-22,0000-00-00,2,door,1777
41,37AHNPP1428M2ZS,"SRI MARKETING",VJA,37AGNPP8895M1Z2,"SURYA PLYWOOD",RJY,2018-03-22,0000-00-00,1,"S/G SHEET",4390
